url,rank,company,revenues,revenue_pct_change,profits,profits_pct_change,assets,market_val,rank_change_1000,employees,rank_change_500,sector,industry,hq,website,years_on_fortune500,costs,revenue_pct,cost_pct
https://fortune.com/fortune500/2019/coca-cola/,100,Coca-Cola,31856.0,-10.0,6434.0,415.5,83216.0,200334.1,13,62600,13,"Food, Beverages & Tobacco",Beverages,"Atlanta, Ga.",http://www.coca-colacompany.com,65,25422.0,0.5561646705541394,0.4438353294458605
https://fortune.com/fortune500/2019/usaa/,101,USAA,31367.8,4.5,2291.9,-5.4,158506.8,0.0,1,33689,1,Financials,Insurance: Property and Casualty (Stock),"San Antonio, Texas",http://www.usaa.com,25,29075.899999999998,0.5189589651196072,0.4810410348803928
https://fortune.com/fortune500/2019/hewlett-packard-enterprise/,102,Hewlett Packard Enterprise,30852.0,6.9,1908.0,454.7,55493.0,21144.9,5,60000,5,Technology,"Computers, Office Equipment","Palo Alto, Calif.",http://www.hpe.com,3,28944.0,0.5159542444310656,0.48404575556893437
https://fortune.com/fortune500/2019/abbott-laboratories/,103,Abbott Laboratories,30578.0,11.6,2368.0,396.4,67173.0,140412.2,8,103000,8,Health Care,Medical Products and Equipment,"Abbott Park, Ill.",http://www.abbott.com,65,28210.0,0.5201401646594543,0.4798598353405457
https://fortune.com/fortune500/2019/twenty-first-century-fox/,104,Twenty-First Century Fox,30400.0,6.7,4464.0,51.2,53831.0,0.0,5,22400,5,Media,Entertainment,"New York, N.Y.",http://www.thewaltdisneycompany.com,15,25936.0,0.5396194262993468,0.4603805737006532
https://fortune.com/fortune500/2019/micron-technology/,105,Micron Technology,30391.0,49.5,14135.0,177.8,43376.0,45739.4,45,36000,45,Technology,Semiconductors and Other Electronic Components,"Boise, Idaho",http://www.micron.com,23,16256.0,0.6515102793320042,0.3484897206679958
https://fortune.com/fortune500/2019/travelers-cos/,106,Travelers,30282.0,4.8,2523.0,22.7,104233.0,36126.7,0,30400,0,Financials,Insurance: Property and Casualty (Stock),"New York, N.Y.",http://www.travelers.com,25,27759.0,0.521734635860857,0.478265364139143
https://fortune.com/fortune500/2019/rite-aid/,107,Rite Aid,30215.4,-8.0,943.5,23178.3,8989.3,685.7,13,48410,13,Food & Drug Stores,Food and Drug Stores,"Camp Hill, Pa.",http://www.riteaid.com,25,29271.9,0.5079302641067925,0.49206973589320746
https://fortune.com/fortune500/2019/northrop-grumman/,108,Northrop Grumman,30095.0,16.6,3229.0,60.2,37653.0,45821.0,10,85000,10,Aerospace & Defense,Aerospace and Defense,"Falls Church, Va.",http://www.northropgrumman.com,65,26866.0,0.5283439546356279,0.4716560453643721
https://fortune.com/fortune500/2019/arrow-electronics/,109,Arrow Electronics,29676.8,10.7,716.2,78.2,17784.4,6564.4,4,20100,4,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, Colo.",http://www.arrow.com,25,28960.6,0.50610702384485,0.49389297615515015
https://fortune.com/fortune500/2019/philip-morris-international/,110,Philip Morris International,29625.0,3.1,7911.0,31.1,39801.0,137516.7,2,77400,2,"Food, Beverages & Tobacco",Tobacco,"New York, N.Y.",http://www.pmi.com,11,21714.0,0.5770466896511424,0.4229533103488576
